Y',M',D',T',TM',Tm',H',PP',VV'
1991,1,1,5.3,9.6,0,86,0,3.4
1991,1,2,2.6,6.4,0,88,0,3.7
1991,1,3,2.3,5.2,-1,87,0,2.6
1991,1,4,3.9,10,0,63,0,8
1991,1,5,2.9,10.4,-3,69,0,10.5
1991,1,6,3.6,7.6,-1,87,0,7.6
1991,1,7,8.1,10.6,6,82,0,10.1
1991,1,8,8.4,12,5,73,5.08,10.8
1991,1,9,9.1,11.6,6.8,81,0,10
1991,1,10,10.2,13.3,8,75,0,11.1
1991,1,11,9.4,12.2,6,76,0,10.9
1991,1,12,6.6,9.2,3,67,2.03,10.1
1991,1,13,3,7.6,-0.4,55,0,11.1
1991,1,14,1.6,7,-3,55,0,10.1
1991,1,15,-1.4,6.3,-6,68,0,10
1991,1,16,-1.2,3.4,-5,77,0,9.8
1991,1,17,3.4,6.4,1,79,0.25,7.9
1991,1,18,6.5,11.4,4,81,0.25,7.9
1991,1,19,7.1,11,3,77,0,9.5
1991,1,20,5.8,13,-1,61,0,10
1991,1,21,4.9,11.4,0,59,0,10
1991,1,22,3.2,10,-3,68,0,11.1
1991,1,23,5,9.6,2.6,63,0,10.8
1991,1,24,3.2,10.2,-3,60,0,10.8
1991,1,25,5.2,11,0.8,55,0,11.1
1991,1,26,5.7,10,-1,60,0,11.1
1991,1,27,1.7,10,-4,65,0,10.1
1991,1,28,1.1,11,-6,65,0,9.7
1991,1,29,0.2,5.2,-6,80,0,8.2
1991,1,30,3.3,9,0,76,0.51,4.7
1991,1,31,1.4,9,-4,71,0,10.3
1991,2,1,2.6,5.2,0,90,4.32,5.3
1991,2,2,3.1,5,0.4,84,1.02,9.8
1991,2,3,6.2,10,3.4,63,0.25,11.1
1991,2,4,5.2,11,1,66,0,11.3
1991,2,5,4.3,11.6,-2.2,72,0,10.6
1991,2,6,5.7,10,0,84,0,8.5
1991,2,7,6.9,10,3,67,1.02,10.9
1991,2,8,4.8,9.2,1.4,69,0,11.6
1991,2,9,7.3,9.5,5.8,76,0,11.6
1991,2,10,5.1,9.5,0,57,2.03,11.1
1991,2,11,1.7,8,-4,62,0,10.5
1991,2,12,0.3,6,-4,62,0,11.4
1991,2,13,1.6,9.4,-6,52,0,10.6
1991,2,14,2.9,7,-2,50,0,10.9
1991,2,15,0.8,10,-8.5,55,0,9.8
1991,2,16,0.9,3,-1.2,87,4.06,6
1991,2,17,2.7,7.2,1,84,4.06,7.1
1991,2,18,1.8,5,0,88,19.05,7.6
1991,2,19,6.5,9,4,71,61.98,11.1
1991,2,20,7.2,14.4,2,63,0,11.3
1991,2,21,6,12.4,-0.2,72,0,9.8
1991,2,22,5.8,12.5,2,71,0,7.1
1991,2,23,5.7,15.2,-1.6,65,0,9.8
1991,2,24,6.8,17.6,-1,62,0,10
1991,2,25,8.4,18.2,1,60,0,10
1991,2,26,8,18.2,1,69,0,10
1991,2,27,7.3,13.5,1.5,61,0,10.8
1991,2,28,5.8,8,4.6,84,13.97,7.6
1991,3,1,7.2,12.4,4,68,0,11.1
1991,3,2,7.3,14,1,65,0,10.5
1991,3,3,10.1,17.8,6,68,0,10.3
1991,3,4,11.1,16.4,4,62,0,10.8
1991,3,5,10.2,13.2,8,74,2.03,10
1991,3,6,9.5,12.6,7,63,4.32,11.1
1991,3,7,7.9,12.7,6,74,10.92,10.6
1991,3,8,7.3,11,4,78,0,10.9
1991,3,9,8.5,11.2,6,84,3.05,10.1
1991,3,10,11.8,17.2,8,69,0,11.9
1991,3,11,9.4,17.5,3,75,0,10.1
1991,3,12,8.8,14.5,5,84,3.05,7.1
1991,3,13,9.4,10.6,8,83,3.05,10.6
1991,3,14,12.1,17,7,60,5.08,11.1
1991,3,15,11.6,15,6,69,0,8.2
1991,3,16,11.2,14,9,70,1.02,10.1
1991,3,17,9.5,15.5,6,67,0.51,10.8
1991,3,18,9.2,17,2,67,0,10.6
1991,3,19,12.4,21,4.8,65,0,10.8
1991,3,20,13.2,22.4,4.5,63,0,10.3
1991,3,21,12.4,17.5,8,57,0,10.9
1991,3,22,7.6,12,4,65,0,11.1
1991,3,23,7,12.3,2.6,55,0,11.3
1991,3,24,6.4,10,4,52,0,11.9
1991,3,25,8.8,12,6,59,0,11.1
1991,3,26,8.3,11.2,7,80,0,9.5
1991,3,27,9.7,15.4,6,69,3.05,9.5
1991,3,28,11,17.2,5,59,0,10.8
1991,3,29,12.2,18.2,7,58,0,10.9
1991,3,30,11.6,16,8,61,0,11.3
1991,3,31,11.1,16,5,54,99.06,10.9
1991,4,1,10.5,17.6,3,50,0,10.3
1991,4,2,10.9,20,2,53,0,9
1991,4,3,11.3,16.3,7,52,0,11.3
1991,4,4,7.4,13,1,66,0,11.1
1991,4,5,8.9,14.2,5,48,3.05,11.4
1991,4,6,9.2,16,1,51,0,10.3
1991,4,7,10.8,20.2,2,57,0,10
