"Y","M","D","T","TM","Tm","H","PP","VV"
1991,1,1,6.334,11.5,2,87,2.1,4.8
1991,1,2,3.634,8.3,2,89,2.1,5.1
1991,1,3,3.334,7.1,1,88,2.1,4
1991,1,4,4.934,11.9,2,64,2.1,9.4
1991,1,5,3.934,12.3,-1,70,2.1,11.9
1991,1,6,4.634,9.5,1,88,2.1,9
1991,1,7,9.134,12.5,8,83,2.1,11.5
1991,1,8,9.434,13.9,7,74,7.18,12.2
1991,1,9,10.134,13.5,8.8,82,2.1,11.4
1991,1,10,11.234,15.2,10,76,2.1,12.5
1991,1,11,10.434,14.1,8,77,2.1,12.3
1991,1,12,7.634,11.1,5,68,4.13,11.5
1991,1,13,4.034,9.5,1.6,56,2.1,12.5
1991,1,14,2.634,8.9,-1,56,2.1,11.5
1991,1,15,-0.366,8.2,-4,69,2.1,11.4
1991,1,16,-0.166,5.3,-3,78,2.1,11.2
1991,1,17,4.434,8.3,3,80,2.35,9.3
1991,1,18,7.534,13.3,6,82,2.35,9.3
1991,1,19,8.134,12.9,5,78,2.1,10.9
1991,1,20,6.834,14.9,1,62,2.1,11.4
1991,1,21,5.934,13.3,2,60,2.1,11.4
1991,1,22,4.234,11.9,-1,69,2.1,12.5
1991,1,23,6.034,11.5,4.6,64,2.1,12.2
1991,1,24,4.234,12.1,-1,61,2.1,12.2
1991,1,25,6.234,12.9,2.8,56,2.1,12.5
1991,1,26,6.734,11.9,1,61,2.1,12.5
1991,1,27,2.734,11.9,-2,66,2.1,11.5
1991,1,28,2.134,12.9,-4,66,2.1,11.1
1991,1,29,1.234,7.1,-4,81,2.1,9.6
1991,1,30,4.334,10.9,2,77,2.61,6.1
1991,1,31,2.434,10.9,-2,72,2.1,11.7
1991,2,1,3.634,7.1,2,91,6.42,6.7
1991,2,2,4.134,6.9,2.4,85,3.12,11.2
1991,2,3,7.234,11.9,5.4,64,2.35,12.5
1991,2,4,6.234,12.9,3,67,2.1,12.7
1991,2,5,5.334,13.5,-0.2,73,2.1,12
