"","year","state","gender","statistic","gross_income_euros"
"1",2017,"nationwide","both","mean",23646.5
"2",2016,"nationwide","both","mean",23156.34
"3",2015,"nationwide","both","mean",23106.3
"4",2014,"nationwide","both","mean",22858.17
"5",2013,"nationwide","both","mean",22697.86
"6",2012,"nationwide","both","mean",22726.44
"7",2011,"nationwide","both","mean",22899.35
"8",2010,"nationwide","both","mean",22790.2
"9",2009,"nationwide","both","mean",22511.47
"10",2008,"nationwide","both","mean",21883.42
"11",2017,"nationwide","both","10th_percentile",8583.81
"12",2016,"nationwide","both","10th_percentile",8095.44
"13",2015,"nationwide","both","10th_percentile",7962.45
"14",2014,"nationwide","both","10th_percentile",7626.2
"15",2013,"nationwide","both","10th_percentile",7692.3
"16",2012,"nationwide","both","10th_percentile",7979.4
"17",2011,"nationwide","both","10th_percentile",8402.15
"18",2010,"nationwide","both","10th_percentile",8643.66
"19",2009,"nationwide","both","10th_percentile",8723.15
"20",2008,"nationwide","both","10th_percentile",8903.52
"21",2017,"nationwide","both","lower_quartile",13897.22
"22",2016,"nationwide","both","lower_quartile",13369.74
"23",2015,"nationwide","both","lower_quartile",13414.92
"24",2014,"nationwide","both","lower_quartile",13217.84
"25",2013,"nationwide","both","lower_quartile",13039.36
"26",2012,"nationwide","both","lower_quartile",13369.45
"27",2011,"nationwide","both","lower_quartile",13553.97
"28",2010,"nationwide","both","lower_quartile",13602.53
"29",2009,"nationwide","both","lower_quartile",13587.26
"30",2008,"nationwide","both","lower_quartile",13342.53
"31",2017,"nationwide","both","median",19830.12
"32",2016,"nationwide","both","median",19432.62
"33",2015,"nationwide","both","median",19466.49
"34",2014,"nationwide","both","median",19263.78
"35",2013,"nationwide","both","median",19029.66
"36",2012,"nationwide","both","median",19040.98
"37",2011,"nationwide","both","median",19303.51
"38",2010,"nationwide","both","median",19017.09
"39",2009,"nationwide","both","median",18803.28
"40",2008,"nationwide","both","median",18244.4
"41",2017,"nationwide","both","upper_quartile",29628.64
"42",2016,"nationwide","both","upper_quartile",29191.56
"43",2015,"nationwide","both","upper_quartile",29163.66
"44",2014,"nationwide","both","upper_quartile",28782.7
"45",2013,"nationwide","both","upper_quartile",28563.69
"46",2012,"nationwide","both","upper_quartile",28395.5
"47",2011,"nationwide","both","upper_quartile",28658.66
"48",2010,"nationwide","both","upper_quartile",28255.45
"49",2009,"nationwide","both","upper_quartile",28024.86
"50",2008,"nationwide","both","upper_quartile",26874.02
"51",2017,"nationwide","both","90th_percentile",42454.21
"52",2016,"nationwide","both","90th_percentile",41855.38
"53",2015,"nationwide","both","90th_percentile",41648.67
"54",2014,"nationwide","both","90th_percentile",41350.36
"55",2013,"nationwide","both","90th_percentile",41108.4
"56",2012,"nationwide","both","90th_percentile",40807.99
"57",2011,"nationwide","both","90th_percentile",40680.54
"58",2010,"nationwide","both","90th_percentile",40811.42
"59",2009,"nationwide","both","90th_percentile",40123.94
"60",2008,"nationwide","both","90th_percentile",38558.29
"61",2017,"nationwide","female","mean",20607.85
"62",2016,"nationwide","female","mean",20131.41
"63",2015,"nationwide","female","mean",20051.58
"64",2014,"nationwide","female","mean",19744.82
"65",2013,"nationwide","female","mean",19514.58
"66",2012,"nationwide","female","mean",19537.33
"67",2011,"nationwide","female","mean",19767.59
"68",2010,"nationwide","female","mean",19735.22
"69",2009,"nationwide","female","mean",19502.02
"70",2008,"nationwide","female","mean",18910.62
"71",2017,"nationwide","female","10th_percentile",7161.93
